wc,avg
0.108538,0.020572
0.086306,0.009828
0.209818,0.021254
0.117447,0.016590
0.104804,0.016836
0.449570,0.070406
0.443045,0.061270
0.321296,0.055078
0.734005,0.065753
0.400730,0.063076
1.079360,0.172104
0.865134,0.127764
0.836368,0.090436
0.535919,0.074042
0.584497,0.065164
0.742496,0.090567
0.707226,0.099628
0.711351,0.068381
0.618945,0.073952
0.800865,0.085160
1.042101,0.160479
2.043880,0.214771
2.818483,0.320604
2.123690,0.198432
1.797276,0.179775
