wc,avg
0.136127,0.018254
0.110970,0.019903
0.085096,0.008652
0.137028,0.017022
0.113544,0.017390
0.551478,0.052443
0.544860,0.084545
0.487464,0.070429
0.408380,0.069765
0.432629,0.062377
1.084986,0.156780
1.181683,0.134418
1.026922,0.149528
0.906907,0.135912
1.056595,0.143242
1.780436,0.190347
1.610846,0.186887
1.760631,0.206266
1.186897,0.188322
1.467177,0.208442
1.715220,0.215915
3.067868,0.332054
2.353419,0.307934
1.889583,0.253564
1.927723,0.241982
