wc,avg
0.016213,0.012295
0.007099,0.004185
0.016933,0.013189
0.014829,0.010723
0.016138,0.012359
0.045655,0.032442
0.073919,0.053686
0.081820,0.056182
0.043451,0.031570
0.060794,0.044834
0.192056,0.147349
0.174436,0.124140
0.200051,0.139935
0.164796,0.125251
0.124338,0.089643
0.301293,0.233398
0.244210,0.177335
0.266544,0.198961
0.243530,0.185687
0.176899,0.122096
0.562819,0.429476
0.435651,0.357445
0.349070,0.270935
0.668676,0.492180
0.360060,0.292456
